date,sc_B,dep_B,sc_B_idx,dep_B_idx
2022-06-22,145.938120859,18061.4869,111.50668094522473,101.96013800833903
2022-06-29,145.387043972,18007.0598,111.08562060640914,101.65288785456603
2022-07-06,145.830774036,17995.2309,111.42466064872995,101.58611172017773
2022-07-13,145.369279049,18016.8412,111.07204699322763,101.70810550632619
2022-07-20,145.206604676,18026.8808,110.94775267381812,101.76478074060873
2022-07-27,145.384298228,18080.8268,111.08352267066515,102.06931500378712
2022-08-03,145.476662112,17995.7317,111.15409497955488,101.58893882059297
2022-08-10,145.206954389,18033.6365,110.94801987840923,101.80291780585462
2022-08-17,145.156118343,18031.8438,110.90917767098274,101.79279771217576
2022-08-24,144.795061278,18058.7375,110.63330544025234,101.9446171818981
2022-08-31,145.198702144,18013.7491,110.9417146002209,101.6906500806195
2022-09-07,144.590037278,17948.7492,110.47665311651713,101.32371468868737
2022-09-14,145.157250151,17964.257,110.91004244951219,101.41125883369384
2022-09-21,144.899264104,17943.3631,110.71292350854031,101.29330924630229
2022-09-28,143.966731293,17881.3593,110.00040481900892,100.94328734389507
2022-10-05,141.605010067,17808.8,108.19588867422736,100.53367786474479
2022-10-12,141.453705525,17793.9162,108.08028168140706,100.44965630492024
2022-10-19,139.815965864,17780.5291,106.82893684583179,100.37408386888058
2022-10-26,139.011802692,17804.0749,106.214501318498,100.50700387877838
2022-11-02,138.999896785,17723.0091,106.20540439327107,100.04937377326605
2022-11-09,140.68298994,17744.8643,107.49140239249843,100.17275006119503
2022-11-16,138.413477683,17749.2996,105.75734019097757,100.19778807731252
2022-11-23,137.173033908,17763.2654,104.80955651776547,100.27662737239831
2022-11-30,135.646457877,17692.3394,103.64314827963412,99.87623814705832
2022-12-07,135.458295249,17770.7016,103.49937919447179,100.31860597484979
2022-12-14,134.587570904,17759.109,102.83408638983875,100.25316379379238
2022-12-21,133.468506381,17759.1335,101.97904474623805,100.25330210042213
2022-12-28,132.288686709,17729.2174,101.07758202378932,100.0844206732418
2023-01-04,131.690282701,17761.0648,100.6203605356432,100.26420461446352
2023-01-11,131.045080661,17682.9945,100.12738215825956,99.82348461137494
2023-01-18,130.780338119,17717.8365,99.92510079414673,100.0201735743687
2023-01-25,130.874759636,17723.9678,99.99724527503021,100.05478579636524
2023-02-01,130.878364975,17714.2629,100.0,100.0
2023-02-08,130.639798496,17678.7958,99.81771893387759,99.79978224213889
2023-02-15,130.448773266,17692.3461,99.6717626254866,99.87627596968767
2023-02-22,129.556416101,17662.6608,98.98994087047731,99.70869744741114
2023-03-01,128.531208724,17651.1355,98.20661248981195,99.64363518619788
2023-03-08,128.375973127,17569.2048,98.08800190277591,99.18112257439738
2023-03-15,125.935911329,17432.754,96.22362821621121,98.41083480814773
2023-03-22,125.971576323,17308.8433,96.2508787048667,97.71133802016678
2023-03-29,125.299608855,17253.8008,95.73744971442328,97.40061382966152
2023-04-05,124.764706371,17272.6597,95.32874772299623,97.5070754990319
2023-04-12,124.59137618,17223.9541,95.19631163164291,97.23212417717927
2023-04-19,123.946366749,17267.4176,94.703480420676,97.47748296091959
2023-04-26,123.302187271,17213.9013,94.21128335042451,97.17537442667175
2023-05-03,122.759798281,17235.7637,93.79686115764757,97.29879135981435
2023-05-10,122.938740122,17221.336,93.93358493245493,97.21734456137037
2023-05-17,122.615590262,17233.4685,93.68667639255858,97.28583456893371
2023-05-24,122.226780223,17291.85,93.38959899624922,97.61540797726333
2023-05-31,121.881269342,17335.7454,93.12560511073117,97.86320490930503
2023-06-07,121.392924696,17267.0981,92.75247648393842,97.47567932956441
2023-06-14,120.582576732,17283.7613,92.13331535356002,97.56974590232595
2023-06-21,120.246232849,17315.4375,91.87632567993118,97.74856339069011
2023-06-28,119.818184501,17304.9461,91.5492675385174,97.68933766925181
2023-07-05,119.28120807,17355.1085,91.13898091008757,97.97251287266374
2023-07-12,118.721334258,17286.8194,90.71119912040298,97.58700939230161
2023-07-19,118.704149679,17321.7247,90.69806892963135,97.78405569446527
2023-07-26,118.118807738,17314.9769,90.25082775183103,97.74596322605103
2023-08-02,117.600755862,17334.735,89.85500077454645,97.85750103099124
2023-08-09,117.17035130083238,17340.7614,89.52614232552027,97.89152107480575
2023-08-16,116.39623358392832,17300.9761,88.93466357572696,97.66692635006562
2023-08-23,116.97139643603927,17343.8918,89.37412723514906,97.90919271046835
2023-08-30,117.33703744239533,17280.9123,89.65350190981427,97.55366281709638
2023-09-06,116.83468740747576,17310.1899,89.26967221037118,97.7189398041507
2023-09-13,116.9732198408714,17299.9576,89.37552044084235,97.66117674588651
2023-09-20,117.01601784767271,17342.4738,89.40822103792691,97.90118786144919
2023-09-27,116.51293299015705,17356.2385,89.02382988388723,97.9788919131374
2023-10-04,116.36513949283496,17355.2206,88.91090556874138,97.97314569605942
2023-10-11,116.54459320162528,17359.1293,89.04802044546268,97.99521096641283
2023-10-18,116.62065361034104,17288.824,89.10613578693282,97.59832569719849
2023-10-25,116.85415273189909,17329.7876,89.28454504624979,97.82957212405377
2023-11-01,116.97558131909376,17354.5271,89.37732477131578,97.96923077166252
2023-11-08,117.85892794744679,17321.0368,90.0522618615841,97.78017238301233
2023-11-15,118.40249452820156,17361.0653,90.46758381403866,98.00614001274643
2023-11-22,119.83898555235517,17362.0928,91.56516096090172,98.01194042344261
2023-11-29,120.81518805298043,17307.2987,92.31104627266559,97.70261849280783
2023-12-06,121.68432460694109,17341.3377,92.97512589661771,97.89477438544732
2023-12-13,121.86303220154352,17349.8439,93.11167069119593,97.94279331825881
2023-12-20,123.31286926184461,17403.5213,94.21944512020718,98.2458112891618
2023-12-27,123.68675911234831,17423.2843,94.5051224745775,98.35737675542795
2024-01-03,124.43177077714998,17431.1609,95.07436221480805,98.40184149011358
2024-01-10,127.05677492719948,17395.9219,97.08004447600601,98.20291139520121
2024-01-17,127.70496620724464,17443.5234,97.57530683672466,98.47162988644588
2024-01-24,128.56465805520938,17409.0235,98.23217006093208,98.27687213561677
2024-01-31,129.78590379051937,17511.2002,99.1652851220373,98.8536768300983
