date_utc,dex_volume_usd,defi_dollar_collateral_usd,liquidations_usd
2024-09-21,3928721771,46718294177,27929.348065078957
2024-09-22,3500436158,47025231640,32438.471746619594
2024-09-23,5151678331,46648122280,1208515.7780829442
2024-09-24,5045474166,48165305969,1229567.9791809148
2024-09-25,5140154068,48382002558,3217355.324526618
2024-09-26,6129302342,47276536385,2093172.837933397
2024-09-27,5800080195,48287205231,631223.9526734927
2024-09-28,4347155837,49106887206,983249.5440483562
2024-09-29,4294352411,48716803410,610980.6885376533
2024-09-30,6104242437,48523120084,252245.73753045243
2024-10-01,8038909205,47543903377,472690.43107746815
2024-10-02,6633026205,45612676498,109685.66951489059
2024-10-03,6056111097,44247417782,1098193.7332596246
2024-10-04,4976914460,43729226419,213230.52773364182
2024-10-05,3541274459,44842434813,645248.4373807745
2024-10-06,4080388757,44575493164,3424566.413479499
2024-10-07,5844941975,44728119919,32181.23638564709
2024-10-08,5920437021,44851761081,164556.2387639125
2024-10-09,5854330087,44276650717,354647.26445910364
2024-10-10,5927974734,43555932701,2843989.5949145206
2024-10-11,5218492084,43419399529,2395158.777830031
2024-10-12,4730321755,44878254667,176738.18185611902
2024-10-13,5178424034,45569508816,3969534.1844076985
2024-10-14,7858605702,45254831058,1389288.9409193574
2024-10-15,8067405821,47734866965,776478.9710282129
2024-10-16,6692786861,47025888109,2683887.7235669293
2024-10-17,6381532760,46955745676,2125335.8970371536
2024-10-18,6165455355,46221946999,496456.83850557153
2024-10-19,4651784691,46753102069,1068111.7823363564
2024-10-20,6175669866,46852008646,1042378.8816395538
2024-10-21,7408576177,48217599910,395962.678274859
2024-10-22,7356835904,47201411819,197707.52567827588
2024-10-23,8185150870,47316901622,628877.2157215992
2024-10-24,7614825701,45465776007,305548.78421929694
2024-10-25,7967363607,45990665364,438605.9383949919
2024-10-26,6019447195,45037241540,3082248.5490929657
2024-10-27,5293411720,45314740723,618295.530277394
2024-10-28,7582747219,45862388291,1154838.1454590447
2024-10-29,7955492480,46719141247,409819.41651584953
2024-10-30,7668142592,47745167124,5487320.020435302
2024-10-31,7367169431,48299182501,1075191.526610016
2024-11-01,7275384949,46175686946,218167.7831878795
2024-11-02,4957624883,46226485586,103344.76933073554
