entity,month,n_transfers,tier,token,volume_usd
Circle,2024-10-01 00:00:00.000 UTC,20164,1,USDC,27537733701.921474
Circle,2024-10-01 00:00:00.000 UTC,17,1,USDT,65503.757232
Coinbase,2024-10-01 00:00:00.000 UTC,317834,1,USDT,12626279154.17442
Coinbase,2024-11-01 00:00:00.000 UTC,390726,1,USDT,36837888646.26797
Circle,2024-11-01 00:00:00.000 UTC,21302,1,USDC,37381818098.06285
Coinbase,2024-11-01 00:00:00.000 UTC,243236,1,USDC,63916295599.02764
Circle,2024-11-01 00:00:00.000 UTC,13,1,USDT,435164.731568
Circle,2024-12-01 00:00:00.000 UTC,22741,1,USDC,40921055003.6619
Coinbase,2024-12-01 00:00:00.000 UTC,263043,1,USDC,60771228284.25676
Circle,2024-12-01 00:00:00.000 UTC,15,1,USDT,619186.15
Coinbase,2024-12-01 00:00:00.000 UTC,379348,1,USDT,27647242501.03324
Coinbase,2025-01-01 00:00:00.000 UTC,288415,1,USDC,69136892101.51456
Circle,2025-01-01 00:00:00.000 UTC,20786,1,USDC,49128154716.94772
Circle,2025-01-01 00:00:00.000 UTC,17,1,USDT,536553.921938
Coinbase,2025-01-01 00:00:00.000 UTC,330019,1,USDT,14980038968.087597
Circle,2025-02-01 00:00:00.000 UTC,18705,1,USDC,36731030270.25265
Coinbase,2025-02-01 00:00:00.000 UTC,288517,1,USDC,68186129894.08463
Coinbase,2025-02-01 00:00:00.000 UTC,296673,1,USDT,19703984014.71465
Circle,2025-02-01 00:00:00.000 UTC,17,1,USDT,266851.564603
Circle,2025-03-01 00:00:00.000 UTC,19829,1,USDC,38895046074.93555
Coinbase,2025-03-01 00:00:00.000 UTC,325887,1,USDC,66040304867.43742
Circle,2025-03-01 00:00:00.000 UTC,29,1,USDT,1566762.475994
Coinbase,2025-03-01 00:00:00.000 UTC,329870,1,USDT,12802336522.789991
Coinbase,2025-04-01 00:00:00.000 UTC,317557,1,USDC,63209130295.98275
Coinbase,2025-04-01 00:00:00.000 UTC,316368,1,USDT,16831737367.946136
Circle,2025-04-01 00:00:00.000 UTC,15843,1,USDC,39083516165.55273
Circle,2025-04-01 00:00:00.000 UTC,20,1,USDT,636969.438599
Coinbase,2025-05-01 00:00:00.000 UTC,337881,1,USDT,5651990339.867505
Circle,2025-05-01 00:00:00.000 UTC,16,1,USDT,397364.21622
Coinbase,2025-05-01 00:00:00.000 UTC,343509,1,USDC,62928246021.324265
Circle,2025-05-01 00:00:00.000 UTC,16580,1,USDC,45449321310.85297
Coinbase,2025-06-01 00:00:00.000 UTC,315847,1,USDT,3226303131.931035
Circle,2025-06-01 00:00:00.000 UTC,10,1,USDT,34691.802903
Circle,2025-06-01 00:00:00.000 UTC,14973,1,USDC,37579941805.42634
Coinbase,2025-06-01 00:00:00.000 UTC,335238,1,USDC,46577174160.74188
Coinbase,2025-07-01 00:00:00.000 UTC,395489,1,USDC,79633720182.19981
Circle,2025-07-01 00:00:00.000 UTC,22400,1,USDC,77187136591.23198
Circle,2025-07-01 00:00:00.000 UTC,9,1,USDT,683699.228724
Coinbase,2025-07-01 00:00:00.000 UTC,363484,1,USDT,12956631162.421127
Coinbase,2025-08-01 00:00:00.000 UTC,410356,1,USDC,98727585030.09038
Circle,2025-08-01 00:00:00.000 UTC,13,1,USDT,531885.669312
Coinbase,2025-08-01 00:00:00.000 UTC,380445,1,USDT,6467566274.583872
Circle,2025-08-01 00:00:00.000 UTC,26705,1,USDC,91368964196.17989
Coinbase,2025-09-01 00:00:00.000 UTC,356944,1,USDT,4048019949.467309
Coinbase,2025-09-01 00:00:00.000 UTC,380428,1,USDC,80295595317.64874
Circle,2025-09-01 00:00:00.000 UTC,13,1,USDT,362850.136043
Circle,2025-09-01 00:00:00.000 UTC,21510,1,USDC,77083346151.15193
Coinbase,2025-10-01 00:00:00.000 UTC,383223,1,USDT,4706434210.885382
Circle,2025-10-01 00:00:00.000 UTC,22050,1,USDC,76759311791.89696
Coinbase,2025-10-01 00:00:00.000 UTC,403197,1,USDC,76322926070.43874
Circle,2025-10-01 00:00:00.000 UTC,16,1,USDT,447214.651765
Circle,2025-11-01 00:00:00.000 UTC,21,1,USDT,882504.568465
Coinbase,2025-11-01 00:00:00.000 UTC,353050,1,USDT,3565746185.557321
Circle,2025-11-01 00:00:00.000 UTC,18063,1,USDC,63516136828.67228
BitGo,2025-11-01 00:00:00.000 UTC,1,1,USDC,0.0001
Gemini,2025-11-01 00:00:00.000 UTC,1,1,USDC,0.0001
Coinbase,2025-11-01 00:00:00.000 UTC,384566,1,USDC,66131828765.27739
Circle,2025-12-01 00:00:00.000 UTC,22459,1,USDC,52606567699.73734
Circle,2025-12-01 00:00:00.000 UTC,9,1,USDT,53108.9
Coinbase,2025-12-01 00:00:00.000 UTC,398699,1,USDC,42267843746.69171
Coinbase,2025-12-01 00:00:00.000 UTC,349568,1,USDT,3536507884.551969
Circle,2026-01-01 00:00:00.000 UTC,21983,1,USDC,48946926442.92516
Circle,2026-01-01 00:00:00.000 UTC,6,1,USDT,33320.193
Coinbase,2026-01-01 00:00:00.000 UTC,361935,1,USDT,3064939255.558435
Coinbase,2026-01-01 00:00:00.000 UTC,394009,1,USDC,40929441469.529305
Uniswap V3,2023-02-01 00:00:00.000 UTC,11007,3,USDC,186893018.831806
1inch,2023-02-01 00:00:00.000 UTC,28225,3,USDC,2191008556.506852
Curve 3pool,2023-02-01 00:00:00.000 UTC,7976,3,USDT,2682615521.295961
1inch,2023-02-01 00:00:00.000 UTC,18785,3,USDT,1346130873.88285
Uniswap V3,2023-02-01 00:00:00.000 UTC,1956,3,USDT,13288176.804468
Curve 3pool,2023-02-01 00:00:00.000 UTC,9591,3,USDC,2719859830.955092
Tornado Cash,2023-02-01 00:00:00.000 UTC,14,3,USDT,8600.0
Compound V3,2023-02-01 00:00:00.000 UTC,1299,3,USDC,319356852.633739
