address,flow_symmetry,in_degree,inflow_usd,n_transfers,out_degree,outflow_usd,total_volume_usd
0xa995910658808c859623c0fe2ff53e432a236739,0.9997535581191176,240,3065159365.2248893,2769,411,3065914935.068113,6131074300.293002
0x58b704065b7aff3ed351052f8560019e05925023,0.9978116434665979,17106,3016518756.2200603,124732,26805,3023134452.2499948,6039653208.470055
0xaea6291cb48d9675b120f74e2f0b0de01db47a00,0.9985697444692301,151,3000802911.2779193,2914,248,3005100973.565884,6005903884.843803
0x4a9e49a45a4b2545cb177f79c7381a30e1dc261f,0.9956346618520678,173,2976685598.413987,1259,61,2989736810.5654254,5966422408.979412
0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0.9999999999999997,6798,2936493026.630867,173775,7903,2936493026.630868,5872986053.261735
0x6a000f20005980200259b80c5102003040001068,0.9999999999999993,8450,2886128148.8439894,154001,14366,2886128148.8439875,5772256297.687977
0x66245c89582435f6d34206ae9aae4841a3542ca1,0.9999999999999999,3,2864000000.632499,219,1,2864000000.6324997,5728000001.264999
0x1ab4973a48dc892cd9971ece8e01dcc7688f8f23,0.9993631975412357,87289,2857727548.9562283,265107,60078,2855907741.0265746,5713635289.982803
0xceb69f6342ece283b2f5c9088ff249b5d0ae66ea,0.9996256923166199,1125,2803296034.4255595,11595,1276,2804345722.576374,5607641757.001934
0xa9d69f2f56df2cb8b66d0f2c6c867407a1296c5f,0.9990488937679254,23,2789171557.310483,554,23,2786518758.8599997,5575690316.170483
0xbcca60bb61934080951369a648fb03df4f96263c,0.9912408923794529,1163,2721233640.4150915,20494,1019,2745279841.9996853,5466513482.414777
0x5d2d49c7371eac3a89ca780ffe4ff32d311d9761,0.9999999999999993,17,2714700581.541546,4343,21,2714700581.541548,5429401163.083094
